v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,3741,0x139b280,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,3757,0x139b2c0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,3772,0x139b300,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,3789,0x139b360,287,CallApiCallback
code-creation,Builtin,3,3803,0x139b480,269,CallApiGetter
code-creation,Builtin,3,3817,0x139b5a0,12,HandleApiCall
code-creation,Builtin,3,3830,0x139b5c0,12,HandleApiCallAsFunction
code-creation,Builtin,3,3845,0x139b5e0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,3860,0x139b600,72,AllocateInYoungGeneration
code-creation,Builtin,3,3875,0x139b660,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,3890,0x139b6a0,72,AllocateInOldGeneration
code-creation,Builtin,3,3904,0x139b700,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,3925,0x139b740,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,3941,0x139b940,563,GrowFastDoubleElements
code-creation,Builtin,3,3955,0x139bb80,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,3970,0x139bd40,353,NewArgumentsElements
code-creation,Builtin,3,3985,0x139bec0,500,DebugBreakTrampoline
code-creation,Builtin,3,3998,0x139c0c0,141,FrameDropperTrampoline
code-creation,Builtin,3,4013,0x139c160,45,HandleDebuggerStatement
code-creation,Builtin,3,4028,0x139c1a0,254,ToObject
code-creation,Builtin,3,4042,0x139c2a0,100,ToBoolean
code-creation,Builtin,3,4055,0x139c320,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4072,0x139c440,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,4087,0x139c560,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4104,0x139c640,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4119,0x139c720,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4134,0x139c800,85,StringToNumber
code-creation,Builtin,3,4148,0x139c860,129,ToName
code-creation,Builtin,3,4161,0x139c900,235,NonNumberToNumber
code-creation,Builtin,3,4175,0x139ca00,255,NonNumberToNumeric
code-creation,Builtin,3,4189,0x139cb00,239,ToNumber
code-creation,Builtin,3,4202,0x139cc00,272,ToNumberConvertBigInt
code-creation,Builtin,3,4216,0x139cd20,275,ToNumeric
code-creation,Builtin,3,4229,0x139ce40,261,NumberToString
code-creation,Builtin,3,4243,0x139cf60,382,ToLength
code-creation,Builtin,3,4255,0x139d0e0,140,Typeof
code-creation,Builtin,3,4268,0x139d180,69,GetSuperConstructor
code-creation,Builtin,3,4282,0x139d1e0,125,BigIntToI64
code-creation,Builtin,3,4295,0x139d260,12,BigIntToI32Pair
code-creation,Builtin,3,4309,0x139d280,309,I64ToBigInt
code-creation,Builtin,3,4322,0x139d3c0,12,I32PairToBigInt
code-creation,Builtin,3,4341,0x139d3e0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4357,0x139d460,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4372,0x139e1e0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4386,0x13a2060,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,4401,0x13a2160,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,4415,0x13a21c0,20,LoadIC_StringLength
code-creation,Builtin,3,4429,0x13a21e0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,4444,0x13a2200,3064,LoadIC_NoFeedback
code-creation,Builtin,3,4458,0x13a2e00,40,StoreGlobalIC_Slow
code-creation,Builtin,3,4472,0x13a2e40,6952,StoreIC_NoFeedback
code-creation,Builtin,3,4486,0x13a4980,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,4501,0x13a4a40,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,4516,0x13a4aa0,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,4532,0x13a4c00,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4552,0x13a4d60,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,4570,0x13a4ec0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,4589,0x13a5020,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,4604,0x13a6ae0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4622,0x13a94c0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,4638,0x13aaf80,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,4655,0x13ac900,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,4672,0x13aedc0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4691,0x13b4320,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,4709,0x13b67e0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,4727,0x13b9840,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,4742,0x13b9b40,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,4757,0x13b9c00,80,HasIndexedInterceptorIC
code-creation,Builtin,3,4772,0x13b9c60,156,EnqueueMicrotask
code-creation,Builtin,3,4786,0x13b9d00,8,RunMicrotasksTrampoline
code-creation,Builtin,3,4800,0x13b9d20,2472,RunMicrotasks
code-creation,Builtin,3,4814,0x13ba6e0,2338,HasProperty
code-creation,Builtin,3,4827,0x13bb020,1108,DeleteProperty
code-creation,Builtin,3,4841,0x13bb480,1847,CopyDataProperties
code-creation,Builtin,3,4855,0x13bbbc0,8794,SetDataProperties
code-creation,Builtin,3,4869,0x13bde20,36,Abort
code-creation,Builtin,3,4882,0x13bde60,36,AbortCSAAssert
code-creation,Builtin,3,4896,0x13bdea0,12,EmptyFunction
code-creation,Builtin,3,4909,0x13bdec0,12,Illegal
code-creation,Builtin,3,4922,0x13bdee0,12,StrictPoisonPillThrower
code-creation,Builtin,3,4936,0x13bdf00,12,UnsupportedThrower
code-creation,Builtin,3,4950,0x13bdf20,65,ReturnReceiver
code-creation,Builtin,3,4964,0x13bdf80,36,ArrayConstructor
code-creation,Builtin,3,4978,0x13bdfc0,413,ArrayConstructorImpl
code-creation,Builtin,3,4997,0x13be160,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5015,0x13be240,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5032,0x13be320,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5051,0x13be3e0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5069,0x13be4a0,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5087,0x13be560,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5105,0x13be620,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5125,0x13be700,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5144,0x13be7e0,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5163,0x13bea00,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5182,0x13bec00,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5206,0x13bedc0,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5226,0x13bef60,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5246,0x13bf120,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5265,0x13bf2c0,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5285,0x13bf4a0,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5305,0x13bf660,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,5320,0x13bf6c0,12,ArrayConcat
code-creation,Builtin,3,5333,0x13bf6e0,12,ArrayPrototypeFill
code-creation,Builtin,3,5348,0x13bf700,958,ArrayIncludesSmiOrObject
