Statistical profiling result from isolate-0x4f9f120-72-v8.log, (28439 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.1%  RegExp: ;\s*charset\s*=
      2    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.0%  LazyCompile: *normalizeString path.js:52:25
      2    0.0%    0.0%  LazyCompile: *afterWrite internal/streams/writable.js:456:20
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  LazyCompile: *removeHeader _http_outgoing.js:614:63
      1    0.0%    0.0%  LazyCompile: *getHeader _http_outgoing.js:571:57
      1    0.0%    0.0%  LazyCompile: *get internal/streams/writable.js:710:8
      1    0.0%    0.0%  LazyCompile: *get internal/streams/duplex.js:92:8
      1    0.0%    0.0%  LazyCompile: *_addListener events.js:343:22

 [C++]:
   ticks  total  nonlib   name
    234    0.8%    5.6%  __pthread_cond_timedwait
    205    0.7%    4.9%  epoll_ctl
    122    0.4%    2.9%  __libc_malloc
    103    0.4%    2.5%  __GI___pthread_getspecific
     84    0.3%    2.0%  __libc_free
     54    0.2%    1.3%  memchr
     39    0.1%    0.9%  operator new(unsigned long)
     35    0.1%    0.8%  operator delete(void*)
     30    0.1%    0.7%  epoll_pwait
     25    0.1%    0.6%  __errno_location
     24    0.1%    0.6%  __clock_gettime
     20    0.1%    0.5%  __lll_lock_wait
     18    0.1%    0.4%  mprotect
     17    0.1%    0.4%  __GI___libc_write
     17    0.1%    0.4%  __GI___libc_read
     14    0.0%    0.3%  writev
     14    0.0%    0.3%  operator new[](unsigned long)
     14    0.0%    0.3%  do_futex_wait.constprop.1
     12    0.0%    0.3%  __write
     11    0.0%    0.3%  __pthread_cond_signal
      7    0.0%    0.2%  __pthread_enable_asynccancel
      7    0.0%    0.2%  _IO_fwrite
      4    0.0%    0.1%  operator delete[](void*)
